Tissue/Biosample,Biosample,Assays,Organ/Tissue,Sample Type,Life Stage,Collection,cCREs (.bed),cCREs (.bigBed),DNase Exp. ID,DNase File ID,DNase Z-scores,DNase Signal,ATAC Exp. ID,ATAC File ID,ATAC Z-scores,ATAC Signal,H3K4me3 Exp. ID,H3K4me3 File ID,H3K4me3 Z-scores,H3K4me3 Signal,H3K27ac Exp. ID,H3K27ac File ID,H3K27ac Z-scores,H3K27ac Signal,CTCF Exp. ID,CTCF File ID,CTCF Z-scores,CTCF Signal,ChromHMM States,Has RNA Seq
Adipose,,,,,,,https://downloads.wenglab.org/adipose.noccl.cCREs.bed,,,,,,,,,,,,,,,,,,,,,,,no
"Mesenteric fat pad, female adult (59 years)","Mesenteric fat pad, female adult (59 years)",DNase,Adipose,Tissue,Adult,Partial,https://downloads.wenglab.org/Registry-V4/ENCFF170YYM.bed,https://downloads.wenglab.org/Registry-V4/ENCFF170YYM.bigBed,ENCSR197BFD,ENCFF170YYM,https://downloads.wenglab.org/Registry-V4/SCREEN/Signal-Files/ENCSR197BFD-ENCFF170YYM.tsv,https://www.encodeproject.org/files/ENCFF170YYM/@@download/ENCFF170YYM.bigWig,,,,,,,,,,,,,,,,,,yes
"Omental fat pad, female adult (51 years)","Omental fat pad, female adult (51 years)","DNase,ATAC,CTCF",Adipose,Tissue,Adult,Partial,https://downloads.wenglab.org/Registry-V4/ENCFF606INL_ENCFF501ILD.bed,https://downloads.wenglab.org/Registry-V4/ENCFF606INL_ENCFF501ILD.bigBed,ENCSR693UHT,ENCFF606INL,https://downloads.wenglab.org/Registry-V4/SCREEN/Signal-Files/ENCSR693UHT-ENCFF606INL.tsv,https://www.encodeproject.org/files/ENCFF606INL/@@download/ENCFF606INL.bigWig,ENCSR788TRR,ENCFF529ZQT,https://downloads.wenglab.org/Registry-V4/SCREEN/Signal-Files/ENCSR788TRR-ENCFF529ZQT.tsv,https://www.encodeproject.org/files/ENCFF529ZQT/@@download/ENCFF529ZQT.bigWig,,,,,,,,,ENCSR225OKX,ENCFF501ILD,https://downloads.wenglab.org/Registry-V4/SCREEN/Signal-Files/ENCSR225OKX-ENCFF501ILD.tsv,https://www.encodeproject.org/files/ENCFF501ILD/@@download/ENCFF501ILD.bigWig,,yes
"Omental fat pad, female adult (53 years)","Omental fat pad, female adult (53 years)",DNase,Adipose,Tissue,Adult,Partial,https://downloads.wenglab.org/Registry-V4/ENCFF724SLN.bed,https://downloads.wenglab.org/Registry-V4/ENCFF724SLN.bigBed,ENCSR154OUQ,ENCFF724SLN,https://downloads.wenglab.org/Registry-V4/SCREEN/Signal-Files/ENCSR154OUQ-ENCFF724SLN.tsv,https://www.encodeproject.org/files/ENCFF724SLN/@@download/ENCFF724SLN.bigWig,,,,,,,,,,,,,,,,,,yes
"Adipose tissue, male adult (34 years)","Adipose tissue, male adult (34 years)",H3K27ac,Adipose,Tissue,Adult,Ancillary,https://downloads.wenglab.org/Registry-V4/ENCFF922YMQ.bed,https://downloads.wenglab.org/Registry-V4/ENCFF922YMQ.bigBed,,,,,,,,,,,,,ENCSR082SHT,ENCFF922YMQ,https://downloads.wenglab.org/Registry-V4/SCREEN/Signal-Files/ENCSR082SHT-ENCFF922YMQ.tsv,https://www.encodeproject.org/files/ENCFF922YMQ/@@download/ENCFF922YMQ.bigWig,,,,,,no
"Mesenteric fat pad, male adult (26 years)","Mesenteric fat pad, male adult (26 years)",ATAC,Adipose,Tissue,Adult,Ancillary,,,,,,,ENCSR551CSY,ENCFF650BOQ,https://downloads.wenglab.org/Registry-V4/SCREEN/Signal-Files/ENCSR551CSY-ENCFF650BOQ.tsv,https://www.encodeproject.org/files/ENCFF650BOQ/@@download/ENCFF650BOQ.bigWig,,,,,,,,,,,,,,no
"Omental fat pad, male adult (37 years)","Omental fat pad, male adult (37 years)",CTCF,Adipose,Tissue,Adult,Ancillary,https://downloads.wenglab.org/Registry-V4/ENCFF264NFG.bed,https://downloads.wenglab.org/Registry-V4/ENCFF264NFG.bigBed,,,,,,,,,,,,,,,,,ENCSR089DTY,ENCFF264NFG,https://downloads.wenglab.org/Registry-V4/SCREEN/Signal-Files/ENCSR089DTY-ENCFF264NFG.tsv,https://www.encodeproject.org/files/ENCFF264NFG/@@download/ENCFF264NFG.bigWig,,yes
"Omental fat pad, male adult (54 years)","Omental fat pad, male adult (54 years)",CTCF,Adipose,Tissue,Adult,Ancillary,https://downloads.wenglab.org/Registry-V4/ENCFF610NJT.bed,https://downloads.wenglab.org/Registry-V4/ENCFF610NJT.bigBed,,,,,,,,,,,,,,,,,ENCSR005LPI,ENCFF610NJT,https://downloads.wenglab.org/Registry-V4/SCREEN/Signal-Files/ENCSR005LPI-ENCFF610NJT.tsv,https://www.encodeproject.org/files/ENCFF610NJT/@@download/ENCFF610NJT.bigWig,,yes
"Subcutaneous abdominal adipose tissue, female adult (25 years) nuclear fraction","Subcutaneous abdominal adipose tissue, female adult (25 years) nuclear fraction",H3K4me3,Adipose,Tissue,Adult,Ancillary,https://downloads.wenglab.org/Registry-V4/ENCFF486KLP.bed,https://downloads.wenglab.org/Registry-V4/ENCFF486KLP.bigBed,,,,,,,,,ENCSR703CYD,ENCFF486KLP,https://downloads.wenglab.org/Registry-V4/SCREEN/Signal-Files/ENCSR703CYD-ENCFF486KLP.tsv,https://www.encodeproject.org/files/ENCFF486KLP/@@download/ENCFF486KLP.bigWig,,,,,,,,,,no
"Subcutaneous abdominal adipose tissue, female adult (41 years) nuclear fraction","Subcutaneous abdominal adipose tissue, female adult (41 years) nuclear fraction",H3K4me3,Adipose,Tissue,Adult,Ancillary,https://downloads.wenglab.org/Registry-V4/ENCFF187IWC.bed,https://downloads.wenglab.org/Registry-V4/ENCFF187IWC.bigBed,,,,,,,,,ENCSR501FTL,ENCFF187IWC,https://downloads.wenglab.org/Registry-V4/SCREEN/Signal-Files/ENCSR501FTL-ENCFF187IWC.tsv,https://www.encodeproject.org/files/ENCFF187IWC/@@download/ENCFF187IWC.bigWig,,,,,,,,,,no
