Tissue/Biosample,Biosample,Assays,Organ/Tissue,Sample Type,Life Stage,Collection,cCREs (.bed),cCREs (.bigBed),DNase Exp. ID,DNase File ID,DNase Z-scores,DNase Signal,ATAC Exp. ID,ATAC File ID,ATAC Z-scores,ATAC Signal,H3K4me3 Exp. ID,H3K4me3 File ID,H3K4me3 Z-scores,H3K4me3 Signal,H3K27ac Exp. ID,H3K27ac File ID,H3K27ac Z-scores,H3K27ac Signal,CTCF Exp. ID,CTCF File ID,CTCF Z-scores,CTCF Signal,ChromHMM States,Has RNA Seq
Adipose,,,,,,,https://downloads.wenglab.org/adipose.noccl.cCREs.bed,,,,,,,,,,,,,,,,,,,,,,,no
"Fat pad, male adult (2 months) strain C57BL/6J C57BL/6","Fat pad, male adult (2 months) strain C57BL/6J C57BL/6",DNase,Adipose,Tissue,Adult,Partial,https://downloads.wenglab.org/Registry-V4/ENCFF899BWR.bed,https://downloads.wenglab.org/Registry-V4/ENCFF899BWR.bigBed,ENCSR000CMZ,ENCFF899BWR,https://downloads.wenglab.org/Registry-V4/SCREEN/Signal-Files/ENCSR000CMZ-ENCFF899BWR.tsv,,,,,,,,,,,,,,,,,,,no
"Gonadal fat pad, male adult (2 months) strain C57BL/6J C57BL/6","Gonadal fat pad, male adult (2 months) strain C57BL/6J C57BL/6",DNase,Adipose,Tissue,Adult,Partial,https://downloads.wenglab.org/Registry-V4/ENCFF148JTM.bed,https://downloads.wenglab.org/Registry-V4/ENCFF148JTM.bigBed,ENCSR000CNC,ENCFF148JTM,https://downloads.wenglab.org/Registry-V4/SCREEN/Signal-Files/ENCSR000CNC-ENCFF148JTM.tsv,,,,,,,,,,,,,,,,,,,no
"Brown adipose tissue, male adult (24 weeks) strain B6NCrl C57BL/6","Brown adipose tissue, male adult (24 weeks) strain B6NCrl C57BL/6","H3K4me3,H3K27ac",Adipose,Tissue,Adult,Ancillary,https://downloads.wenglab.org/Registry-V4/ENCFF409WOB_ENCFF476CKA.bed,https://downloads.wenglab.org/Registry-V4/ENCFF409WOB_ENCFF476CKA.bigBed,,,,,,,,,ENCSR000CFB,ENCFF409WOB,https://downloads.wenglab.org/Registry-V4/SCREEN/Signal-Files/ENCSR000CFB-ENCFF409WOB.tsv,,ENCSR000CEZ,ENCFF476CKA,https://downloads.wenglab.org/Registry-V4/SCREEN/Signal-Files/ENCSR000CEZ-ENCFF476CKA.tsv,,,,,,,no
Adrenal gland,,,,,,,https://downloads.wenglab.org/adrenal_gland.noccl.cCREs.bed,,,,,,,,,,,,,,,,,,,,,,,no
"Adrenal gland, female postnatal (10 days) strain B6CASTF1/J C57BL/6JxCAST/EiJ","Adrenal gland, female postnatal (10 days) strain B6CASTF1/J C57BL/6JxCAST/EiJ",DNase,Adrenal gland,Tissue,Adult,Partial,https://downloads.wenglab.org/Registry-V4/ENCFF431GVW.bed,https://downloads.wenglab.org/Registry-V4/ENCFF431GVW.bigBed,ENCSR923UKN,ENCFF431GVW,https://downloads.wenglab.org/Registry-V4/SCREEN/Signal-Files/ENCSR923UKN-ENCFF431GVW.tsv,,,,,,,,,,,,,,,,,,,no
"Adrenal gland, female postnatal (14 days) strain B6CASTF1/J C57BL/6JxCAST/EiJ","Adrenal gland, female postnatal (14 days) strain B6CASTF1/J C57BL/6JxCAST/EiJ",DNase,Adrenal gland,Tissue,Adult,Partial,https://downloads.wenglab.org/Registry-V4/ENCFF106WKK.bed,https://downloads.wenglab.org/Registry-V4/ENCFF106WKK.bigBed,ENCSR837TJD,ENCFF106WKK,https://downloads.wenglab.org/Registry-V4/SCREEN/Signal-Files/ENCSR837TJD-ENCFF106WKK.tsv,,,,,,,,,,,,,,,,,,,no
"Adrenal gland, female adult (2 months) strain B6CASTF1/J C57BL/6JxCAST/EiJ","Adrenal gland, female adult (2 months) strain B6CASTF1/J C57BL/6JxCAST/EiJ",DNase,Adrenal gland,Tissue,Adult,Partial,https://downloads.wenglab.org/Registry-V4/ENCFF673OVH.bed,https://downloads.wenglab.org/Registry-V4/ENCFF673OVH.bigBed,ENCSR455VIA,ENCFF673OVH,https://downloads.wenglab.org/Registry-V4/SCREEN/Signal-Files/ENCSR455VIA-ENCFF673OVH.tsv,,,,,,,,,,,,,,,,,,,no
"Adrenal gland, female postnatal (36 days) strain B6CASTF1/J C57BL/6JxCAST/EiJ","Adrenal gland, female postnatal (36 days) strain B6CASTF1/J C57BL/6JxCAST/EiJ",DNase,Adrenal gland,Tissue,Adult,Partial,https://downloads.wenglab.org/Registry-V4/ENCFF601XSB.bed,https://downloads.wenglab.org/Registry-V4/ENCFF601XSB.bigBed,ENCSR365LKY,ENCFF601XSB,https://downloads.wenglab.org/Registry-V4/SCREEN/Signal-Files/ENCSR365LKY-ENCFF601XSB.tsv,,,,,,,,,,,,,,,,,,,no
"Adrenal gland, female postnatal (4 days) strain B6CASTF1/J C57BL/6JxCAST/EiJ","Adrenal gland, female postnatal (4 days) strain B6CASTF1/J C57BL/6JxCAST/EiJ",DNase,Adrenal gland,Tissue,Adult,Partial,https://downloads.wenglab.org/Registry-V4/ENCFF934ESX.bed,https://downloads.wenglab.org/Registry-V4/ENCFF934ESX.bigBed,ENCSR840HMW,ENCFF934ESX,https://downloads.wenglab.org/Registry-V4/SCREEN/Signal-Files/ENCSR840HMW-ENCFF934ESX.tsv,,,,,,,,,,,,,,,,,,,no
