File accession	File format	File type	File format type	Output type	File assembly	Experiment accession	Assay	Donor(s)	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate(s)	Read length	Mapped read length	Run type	Paired end	Paired with	Index of	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Genome annotation	Platform	Controlled by	File Status	s3_uri	Azure URL	File analysis title	File analysis status	Audit WARNING	Audit NOT_COMPLIANT	Audit ERROR
ENCFF454NPL	bed bed9+	bed	bed9+	methylation state at CpG	GRCh38	ENCSR803SIO	WGBS	/human-donors/ENCDO271OUW/	UBERON:0000992	ovary	tissue	Homo sapiens											DNA						2017-12-04	ENCODE				1	1_1							/files/ENCFF792NJK/, /files/ENCFF758FWO/	732262671	ENCODE Processing Pipeline	20f1bd88de81d9b9b95fee46407f6c94		https://www.encodeproject.org/files/ENCFF454NPL/@@download/ENCFF454NPL.bed.gz				released	s3://encode-public/2021/03/01/1afe42cd-5832-41ca-a2fe-c18a621bf422/ENCFF454NPL.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2021/03/01/1afe42cd-5832-41ca-a2fe-c18a621bf422/ENCFF454NPL.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.1.5 GRCh38	released			
ENCFF155PKX	bigWig	bigWig		plus strand methylation state at CpG	GRCh38	ENCSR803SIO	WGBS	/human-donors/ENCDO271OUW/	UBERON:0000992	ovary	tissue	Homo sapiens											DNA						2017-12-04	ENCODE				1	1_1							/files/ENCFF792NJK/, /files/ENCFF758FWO/	2203447572	ENCODE Processing Pipeline	60a9ec71e1ad8b3c4f5d993bd2befbd2		https://www.encodeproject.org/files/ENCFF155PKX/@@download/ENCFF155PKX.bigWig				released	s3://encode-public/2021/03/01/a2bbe856-58e0-438a-be9d-83d7ad0dcfd2/ENCFF155PKX.bigWig	https://datasetencode.blob.core.windows.net/dataset/2021/03/01/a2bbe856-58e0-438a-be9d-83d7ad0dcfd2/ENCFF155PKX.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.1.5 GRCh38	released			
ENCFF423JNP	bigWig	bigWig		minus strand methylation state at CpG	GRCh38	ENCSR803SIO	WGBS	/human-donors/ENCDO271OUW/	UBERON:0000992	ovary	tissue	Homo sapiens											DNA						2017-12-04	ENCODE				1	1_1							/files/ENCFF792NJK/, /files/ENCFF758FWO/	2210218650	ENCODE Processing Pipeline	9dc46d31f4fb20286a4adbd7da9f5b61		https://www.encodeproject.org/files/ENCFF423JNP/@@download/ENCFF423JNP.bigWig				released	s3://encode-public/2021/03/01/3c17b992-bafc-4311-8aaf-3b01d9617e21/ENCFF423JNP.bigWig	https://datasetencode.blob.core.windows.net/dataset/2021/03/01/3c17b992-bafc-4311-8aaf-3b01d9617e21/ENCFF423JNP.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.1.5 GRCh38	released			
ENCFF072OIA	bigBed bed9+	bigBed	bed9+	methylation state at CpG	GRCh38	ENCSR803SIO	WGBS	/human-donors/ENCDO271OUW/	UBERON:0000992	ovary	tissue	Homo sapiens											DNA						2017-12-04	ENCODE				1	1_1							/files/ENCFF792NJK/, /files/ENCFF454NPL/	1291121481	ENCODE Processing Pipeline	c0e02a18ab65b3716d308f7925e16088		https://www.encodeproject.org/files/ENCFF072OIA/@@download/ENCFF072OIA.bigBed				released	s3://encode-public/2021/03/01/c4ed14bd-626a-4706-b77c-38f6738dc19e/ENCFF072OIA.bigBed	https://datasetencode.blob.core.windows.net/dataset/2021/03/01/c4ed14bd-626a-4706-b77c-38f6738dc19e/ENCFF072OIA.bigBed?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.1.5 GRCh38	released			
ENCFF649IEY	bed bed9+	bed	bed9+	methylation state at CpG	GRCh38	ENCSR166VVF	WGBS	/human-donors/ENCDO271OUW/	UBERON:0036149	suprapubic skin	tissue	Homo sapiens											DNA						2018-04-19	ENCODE				1	1_1							/files/ENCFF792NJK/, /files/ENCFF502SJA/	676886786	ENCODE Processing Pipeline	7f4cdebc44c28f9d080d510c26524774		https://www.encodeproject.org/files/ENCFF649IEY/@@download/ENCFF649IEY.bed.gz				released	s3://encode-public/2021/03/01/77fdce2a-43f8-417e-872f-4d36dcc7d598/ENCFF649IEY.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2021/03/01/77fdce2a-43f8-417e-872f-4d36dcc7d598/ENCFF649IEY.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.1.5 GRCh38	released			
ENCFF119AZS	bigWig	bigWig		minus strand methylation state at CpG	GRCh38	ENCSR166VVF	WGBS	/human-donors/ENCDO271OUW/	UBERON:0036149	suprapubic skin	tissue	Homo sapiens											DNA						2018-04-19	ENCODE				1	1_1							/files/ENCFF792NJK/, /files/ENCFF502SJA/	2049293723	ENCODE Processing Pipeline	004e65a531b266aa6060b87bc8c5241c		https://www.encodeproject.org/files/ENCFF119AZS/@@download/ENCFF119AZS.bigWig				released	s3://encode-public/2021/03/01/e1c12030-d9d2-43b7-91de-4a176e53cb22/ENCFF119AZS.bigWig	https://datasetencode.blob.core.windows.net/dataset/2021/03/01/e1c12030-d9d2-43b7-91de-4a176e53cb22/ENCFF119AZS.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.1.5 GRCh38	released			
ENCFF706NQD	bigBed bed9+	bigBed	bed9+	methylation state at CpG	GRCh38	ENCSR166VVF	WGBS	/human-donors/ENCDO271OUW/	UBERON:0036149	suprapubic skin	tissue	Homo sapiens											DNA						2018-04-19	ENCODE				1	1_1							/files/ENCFF649IEY/, /files/ENCFF792NJK/	1229063169	ENCODE Processing Pipeline	0a6d44789c894b61ee21133f5b199937		https://www.encodeproject.org/files/ENCFF706NQD/@@download/ENCFF706NQD.bigBed				released	s3://encode-public/2021/03/01/b79fadce-9ac9-4570-a85d-ddeb8641e2c4/ENCFF706NQD.bigBed	https://datasetencode.blob.core.windows.net/dataset/2021/03/01/b79fadce-9ac9-4570-a85d-ddeb8641e2c4/ENCFF706NQD.bigBed?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.1.5 GRCh38	released			
ENCFF545QOM	bigWig	bigWig		plus strand methylation state at CpG	GRCh38	ENCSR166VVF	WGBS	/human-donors/ENCDO271OUW/	UBERON:0036149	suprapubic skin	tissue	Homo sapiens											DNA						2018-04-19	ENCODE				1	1_1							/files/ENCFF792NJK/, /files/ENCFF502SJA/	2033025992	ENCODE Processing Pipeline	94fa82011f0d95a35b4674c312c7870d		https://www.encodeproject.org/files/ENCFF545QOM/@@download/ENCFF545QOM.bigWig				released	s3://encode-public/2021/03/01/8af00f3e-7b56-4dd0-9fde-609f6c5ee6bb/ENCFF545QOM.bigWig	https://datasetencode.blob.core.windows.net/dataset/2021/03/01/8af00f3e-7b56-4dd0-9fde-609f6c5ee6bb/ENCFF545QOM.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.1.5 GRCh38	released			
ENCFF140ROU	hic	hic		mapping quality thresholded contact matrix	GRCh38	ENCSR121ALS	intact Hi-C	/human-donors/ENCDO793LXB/	UBERON:0001150	body of pancreas	tissue	Homo sapiens											DNA				formaldehyde		2023-01-04	ENCODE		chemical (DNaseI)	100-400	1	1_1, 1_2							/files/ENCFF348ZTF/	52225226714	ENCODE Processing Pipeline	5b652123652708d1c48cdb88f82c1a5c		https://www.encodeproject.org/files/ENCFF140ROU/@@download/ENCFF140ROU.hic				released	s3://encode-public/2022/12/07/bc5e89c7-8400-467e-bd35-2ee4c212c9c4/ENCFF140ROU.hic	https://datasetencode.blob.core.windows.net/dataset/2022/12/07/bc5e89c7-8400-467e-bd35-2ee4c212c9c4/ENCFF140ROU.hic?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.15.1 GRCh38	released			
ENCFF105RQC	bedpe	bedpe		contact domains	GRCh38	ENCSR121ALS	intact Hi-C	/human-donors/ENCDO793LXB/	UBERON:0001150	body of pancreas	tissue	Homo sapiens											DNA				formaldehyde		2023-01-04	ENCODE		chemical (DNaseI)	100-400	1	1_1, 1_2							/files/ENCFF140ROU/	143074	ENCODE Processing Pipeline	c238dc86a10181b90d20dfc76382417b		https://www.encodeproject.org/files/ENCFF105RQC/@@download/ENCFF105RQC.bedpe.gz				released	s3://encode-public/2022/12/07/b3dba0e3-f27c-43a2-a036-8b1728546308/ENCFF105RQC.bedpe.gz	https://datasetencode.blob.core.windows.net/dataset/2022/12/07/b3dba0e3-f27c-43a2-a036-8b1728546308/ENCFF105RQC.bedpe.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.15.1 GRCh38	released			
