File accession	File format	File type	File format type	Output type	File assembly	Experiment accession	Assay	Donor(s)	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate(s)	Read length	Mapped read length	Run type	Paired end	Paired with	Index of	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Genome annotation	Platform	Controlled by	File Status	s3_uri	Azure URL	File analysis title	File analysis status	Audit WARNING	Audit NOT_COMPLIANT	Audit ERROR
ENCFF803FBL	bigWig	bigWig		minus strand signal of unique reads	GRCh38	ENCSR634JQK	total RNA-seq	/human-donors/ENCDO242JQO/	UBERON:0009834	dorsolateral prefrontal cortex	tissue	Homo sapiens											RNA					reverse	2022-03-28	ENCODE				1	1_1							/files/GRCh38_EBV.chrom.sizes/, /files/ENCFF416UGY/	128953116	ENCODE Processing Pipeline	f8392085ab8146a85c2c3753df257819		https://www.encodeproject.org/files/ENCFF803FBL/@@download/ENCFF803FBL.bigWig	V29			released	s3://encode-public/2022/03/09/a114a8b2-05bb-4fef-9a8e-d3d24d781739/ENCFF803FBL.bigWig	https://datasetencode.blob.core.windows.net/dataset/2022/03/09/a114a8b2-05bb-4fef-9a8e-d3d24d781739/ENCFF803FBL.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.2.3 GRCh38 V29	released			
ENCFF482BDQ	bigWig	bigWig		plus strand signal of unique reads	GRCh38	ENCSR634JQK	total RNA-seq	/human-donors/ENCDO242JQO/	UBERON:0009834	dorsolateral prefrontal cortex	tissue	Homo sapiens											RNA					reverse	2022-03-28	ENCODE				1	1_1							/files/GRCh38_EBV.chrom.sizes/, /files/ENCFF416UGY/	131797065	ENCODE Processing Pipeline	f50a6a72701d75ff49724fb4eeadb3a4		https://www.encodeproject.org/files/ENCFF482BDQ/@@download/ENCFF482BDQ.bigWig	V29			released	s3://encode-public/2022/03/09/2e235966-461b-4098-9b1e-81ee25086545/ENCFF482BDQ.bigWig	https://datasetencode.blob.core.windows.net/dataset/2022/03/09/2e235966-461b-4098-9b1e-81ee25086545/ENCFF482BDQ.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.2.3 GRCh38 V29	released			
ENCFF042XFA	tsv	tsv		gene quantifications	GRCh38	ENCSR634JQK	total RNA-seq	/human-donors/ENCDO242JQO/	UBERON:0009834	dorsolateral prefrontal cortex	tissue	Homo sapiens											RNA					reverse	2022-03-28	ENCODE				1	1_1							/files/ENCFF169PFE/, /files/ENCFF285DRD/	11007281	ENCODE Processing Pipeline	5dea2a63bf8c28b4312d43cc9378b092		https://www.encodeproject.org/files/ENCFF042XFA/@@download/ENCFF042XFA.tsv	V29			released	s3://encode-public/2022/03/09/9f63949f-8eb9-4344-bcb7-092b1345ae18/ENCFF042XFA.tsv	https://datasetencode.blob.core.windows.net/dataset/2022/03/09/9f63949f-8eb9-4344-bcb7-092b1345ae18/ENCFF042XFA.tsv?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.2.3 GRCh38 V29	released			
ENCFF977WWQ	bigWig	bigWig		minus strand signal of unique reads	GRCh38	ENCSR158VWD	total RNA-seq	/human-donors/ENCDO093CLS/	UBERON:0009834	dorsolateral prefrontal cortex	tissue	Homo sapiens											RNA					reverse	2022-06-03	ENCODE				1	1_1							/files/GRCh38_EBV.chrom.sizes/, /files/ENCFF160AXJ/	122198676	ENCODE Processing Pipeline	556cd924838a5671b8c2e84a3efbfdc8		https://www.encodeproject.org/files/ENCFF977WWQ/@@download/ENCFF977WWQ.bigWig	V29			released	s3://encode-public/2022/05/13/f4313765-0a79-416a-9f90-a75fb358d2e9/ENCFF977WWQ.bigWig	https://datasetencode.blob.core.windows.net/dataset/2022/05/13/f4313765-0a79-416a-9f90-a75fb358d2e9/ENCFF977WWQ.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.2.3 GRCh38 V29	released			
ENCFF417ERE	tsv	tsv		gene quantifications	GRCh38	ENCSR158VWD	total RNA-seq	/human-donors/ENCDO093CLS/	UBERON:0009834	dorsolateral prefrontal cortex	tissue	Homo sapiens											RNA					reverse	2022-06-03	ENCODE				1	1_1							/files/ENCFF866KRA/, /files/ENCFF285DRD/	10994811	ENCODE Processing Pipeline	ca3ee78155141ef6eddb502094b479da		https://www.encodeproject.org/files/ENCFF417ERE/@@download/ENCFF417ERE.tsv	V29			released	s3://encode-public/2022/05/13/ae075903-5771-443e-9005-98e462a9ce95/ENCFF417ERE.tsv	https://datasetencode.blob.core.windows.net/dataset/2022/05/13/ae075903-5771-443e-9005-98e462a9ce95/ENCFF417ERE.tsv?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.2.3 GRCh38 V29	released			
ENCFF766TPR	bigWig	bigWig		plus strand signal of unique reads	GRCh38	ENCSR158VWD	total RNA-seq	/human-donors/ENCDO093CLS/	UBERON:0009834	dorsolateral prefrontal cortex	tissue	Homo sapiens											RNA					reverse	2022-06-03	ENCODE				1	1_1							/files/GRCh38_EBV.chrom.sizes/, /files/ENCFF160AXJ/	126245010	ENCODE Processing Pipeline	1fad9331dc3f3797da435973c0fc786b		https://www.encodeproject.org/files/ENCFF766TPR/@@download/ENCFF766TPR.bigWig	V29			released	s3://encode-public/2022/05/13/1df54530-1bb2-462f-b3ed-0e24f8702d42/ENCFF766TPR.bigWig	https://datasetencode.blob.core.windows.net/dataset/2022/05/13/1df54530-1bb2-462f-b3ed-0e24f8702d42/ENCFF766TPR.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.2.3 GRCh38 V29	released			
ENCFF142ATD	bigWig	bigWig		plus strand signal of unique reads	GRCh38	ENCSR522CJR	total RNA-seq	/human-donors/ENCDO000AAZ/	EFO:0001086	A549	cell line	Homo sapiens	Hydrocortisone	1 μM	4 hour								RNA		Qiagen RNA extraction			reverse	2022-07-14	ENCODE			200-300	5	5_1							/files/GRCh38_EBV.chrom.sizes/, /files/ENCFF253DEL/	121468551	ENCODE Processing Pipeline	ecd0a0a6458ea55972e95136d6961b5b		https://www.encodeproject.org/files/ENCFF142ATD/@@download/ENCFF142ATD.bigWig	V29			released	s3://encode-public/2022/05/05/da145aab-fe68-4238-9433-ffdc61e53add/ENCFF142ATD.bigWig	https://datasetencode.blob.core.windows.net/dataset/2022/05/05/da145aab-fe68-4238-9433-ffdc61e53add/ENCFF142ATD.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.2.3 GRCh38 V29	released			
ENCFF167ROF	bigWig	bigWig		minus strand signal of unique reads	GRCh38	ENCSR522CJR	total RNA-seq	/human-donors/ENCDO000AAZ/	EFO:0001086	A549	cell line	Homo sapiens	Hydrocortisone	1 μM	4 hour								RNA		Qiagen RNA extraction			reverse	2022-07-14	ENCODE			200-300	5	5_1							/files/GRCh38_EBV.chrom.sizes/, /files/ENCFF253DEL/	117491894	ENCODE Processing Pipeline	d5f8bb82cafebfe9b06baa51900914e1		https://www.encodeproject.org/files/ENCFF167ROF/@@download/ENCFF167ROF.bigWig	V29			released	s3://encode-public/2022/05/05/d4edd8f0-f61c-4d66-bbf8-5c9f5327bf18/ENCFF167ROF.bigWig	https://datasetencode.blob.core.windows.net/dataset/2022/05/05/d4edd8f0-f61c-4d66-bbf8-5c9f5327bf18/ENCFF167ROF.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.2.3 GRCh38 V29	released			
ENCFF168JWJ	tsv	tsv		gene quantifications	GRCh38	ENCSR522CJR	total RNA-seq	/human-donors/ENCDO000AAZ/	EFO:0001086	A549	cell line	Homo sapiens	Hydrocortisone	1 μM	4 hour								RNA		Qiagen RNA extraction			reverse	2022-07-14	ENCODE			200-300	5	5_1							/files/ENCFF285DRD/, /files/ENCFF355MFU/	10969253	ENCODE Processing Pipeline	1bb004e0ab86ce3310527ed1942a67c3		https://www.encodeproject.org/files/ENCFF168JWJ/@@download/ENCFF168JWJ.tsv	V29			released	s3://encode-public/2022/05/05/6a85f85e-3ef2-4008-9d64-50ef77aba191/ENCFF168JWJ.tsv	https://datasetencode.blob.core.windows.net/dataset/2022/05/05/6a85f85e-3ef2-4008-9d64-50ef77aba191/ENCFF168JWJ.tsv?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.2.3 GRCh38 V29	released			
ENCFF026YSH	bigWig	bigWig		plus strand signal of unique reads	GRCh38	ENCSR414IGI	total RNA-seq	/human-donors/ENCDO000AAZ/	EFO:0001086	A549	cell line	Homo sapiens	DMSO	1 μM	4 hour								RNA		Qiagen RNA extraction			reverse	2022-07-14	ENCODE			200-300	3	3_1							/files/GRCh38_EBV.chrom.sizes/, /files/ENCFF160NVZ/	133123686	ENCODE Processing Pipeline	d6711fff6142dc66ca18d407dba0a849		https://www.encodeproject.org/files/ENCFF026YSH/@@download/ENCFF026YSH.bigWig	V29			released	s3://encode-public/2022/05/12/10375c1f-5987-4f0d-a28f-ad6fa697a367/ENCFF026YSH.bigWig	https://datasetencode.blob.core.windows.net/dataset/2022/05/12/10375c1f-5987-4f0d-a28f-ad6fa697a367/ENCFF026YSH.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.2.3 GRCh38 V29	released	low read depth		
