File accession	File format	File type	File format type	Output type	File assembly	Experiment accession	Assay	Donor(s)	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate(s)	Read length	Mapped read length	Run type	Paired end	Paired with	Index of	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Genome annotation	Platform	Controlled by	File Status	s3_uri	Azure URL	File analysis title	File analysis status	Audit WARNING	Audit NOT_COMPLIANT	Audit ERROR
ENCFF199TJO	tsv	tsv		gene quantifications	mm10	ENCSR000CWE	total RNA-seq	/mouse-donors/ENCDO073AAA/	EFO:0003971	MEL	cell line	Mus musculus											RNA	rRNA				reverse	2012-06-25	ENCODE		see document	300-350	2	2_1							/files/ENCFF363TFV/, /files/ENCFF742VHP/	11782148	ENCODE Processing Pipeline	171a94c9cec6f75ce39a30a1dbb743d1		https://www.encodeproject.org/files/ENCFF199TJO/@@download/ENCFF199TJO.tsv	M21			released	s3://encode-public/2021/04/17/0bfa3e82-f252-41bd-9147-ae581d55ede9/ENCFF199TJO.tsv	https://datasetencode.blob.core.windows.net/dataset/2021/04/17/0bfa3e82-f252-41bd-9147-ae581d55ede9/ENCFF199TJO.tsv?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.2.3 mm10 M21	released			
ENCFF957RTC	bigWig	bigWig		plus strand signal of unique reads	mm10	ENCSR000CWE	total RNA-seq	/mouse-donors/ENCDO073AAA/	EFO:0003971	MEL	cell line	Mus musculus											RNA	rRNA				reverse	2012-06-25	ENCODE		see document	300-350	2	2_1							/files/ENCFF475KFH/, /files/mm10_no_alt.chrom.sizes/	164546261	ENCODE Processing Pipeline	119950919d2ce0d1842774bc8764dc39		https://www.encodeproject.org/files/ENCFF957RTC/@@download/ENCFF957RTC.bigWig	M21			released	s3://encode-public/2021/04/17/dd7b84e7-0688-4022-95ee-ff9567ef169e/ENCFF957RTC.bigWig	https://datasetencode.blob.core.windows.net/dataset/2021/04/17/dd7b84e7-0688-4022-95ee-ff9567ef169e/ENCFF957RTC.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.2.3 mm10 M21	released			
ENCFF347VEH	bigWig	bigWig		minus strand signal of unique reads	mm10	ENCSR000CWE	total RNA-seq	/mouse-donors/ENCDO073AAA/	EFO:0003971	MEL	cell line	Mus musculus											RNA	rRNA				reverse	2012-06-25	ENCODE		see document	300-350	2	2_1							/files/ENCFF475KFH/, /files/mm10_no_alt.chrom.sizes/	161893550	ENCODE Processing Pipeline	ea00f9b329a9929a9ee5864cb807ec70		https://www.encodeproject.org/files/ENCFF347VEH/@@download/ENCFF347VEH.bigWig	M21			released	s3://encode-public/2021/04/17/49f74133-61e8-4f91-8aeb-bc71ddac618f/ENCFF347VEH.bigWig	https://datasetencode.blob.core.windows.net/dataset/2021/04/17/49f74133-61e8-4f91-8aeb-bc71ddac618f/ENCFF347VEH.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.2.3 mm10 M21	released			
ENCFF584IEC	bigWig	bigWig		plus strand signal of unique reads	mm10	ENCSR788PEE	total RNA-seq	/mouse-donors/ENCDO509HIY/	CL:0000236	B cell	primary cell	Mus musculus											RNA					reverse	2023-01-20	ENCODE				2	2_1							/files/mm10_no_alt.chrom.sizes/, /files/ENCFF046XUG/	87379600	ENCODE Processing Pipeline	f512a990186e17872161ca876d703fa3		https://www.encodeproject.org/files/ENCFF584IEC/@@download/ENCFF584IEC.bigWig	M21			released	s3://encode-public/2023/01/12/7a5dbc3c-6a87-419d-ab59-9564c82666b1/ENCFF584IEC.bigWig	https://datasetencode.blob.core.windows.net/dataset/2023/01/12/7a5dbc3c-6a87-419d-ab59-9564c82666b1/ENCFF584IEC.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.2.4 mm10 M21	released			
ENCFF496KQS	bigWig	bigWig		minus strand signal of unique reads	mm10	ENCSR788PEE	total RNA-seq	/mouse-donors/ENCDO509HIY/	CL:0000236	B cell	primary cell	Mus musculus											RNA					reverse	2023-01-20	ENCODE				2	2_1							/files/mm10_no_alt.chrom.sizes/, /files/ENCFF046XUG/	85067841	ENCODE Processing Pipeline	f5577dfaa80cdb7b6aef8b4a225e6394		https://www.encodeproject.org/files/ENCFF496KQS/@@download/ENCFF496KQS.bigWig	M21			released	s3://encode-public/2023/01/12/1b16e344-5f1c-410a-ac77-5a9b1a22ad7e/ENCFF496KQS.bigWig	https://datasetencode.blob.core.windows.net/dataset/2023/01/12/1b16e344-5f1c-410a-ac77-5a9b1a22ad7e/ENCFF496KQS.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.2.4 mm10 M21	released			
ENCFF500RQQ	tsv	tsv		gene quantifications	mm10	ENCSR788PEE	total RNA-seq	/mouse-donors/ENCDO509HIY/	CL:0000236	B cell	primary cell	Mus musculus											RNA					reverse	2023-01-20	ENCODE				2	2_1							/files/ENCFF796YEL/, /files/ENCFF363TFV/	11865652	ENCODE Processing Pipeline	ba25e9278e6a309bf7197ee5d685e8ee		https://www.encodeproject.org/files/ENCFF500RQQ/@@download/ENCFF500RQQ.tsv	M21			released	s3://encode-public/2023/01/12/06103245-fa9b-4d21-bc35-ec2f214c3bf1/ENCFF500RQQ.tsv	https://datasetencode.blob.core.windows.net/dataset/2023/01/12/06103245-fa9b-4d21-bc35-ec2f214c3bf1/ENCFF500RQQ.tsv?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.2.4 mm10 M21	released			
ENCFF959YOC	bigWig	bigWig		plus strand signal of unique reads	mm10	ENCSR129DEA	total RNA-seq	/mouse-donors/ENCDO996MUL/	UBERON:0002369	adrenal gland	tissue	Mus musculus											RNA					reverse	2022-02-23	ENCODE				1	1_1							/files/ENCFF809NMT/, /files/mm10_no_alt.chrom.sizes/	119465504	ENCODE Processing Pipeline	7ab9e83e218ccba2e717afe5f9a7409e		https://www.encodeproject.org/files/ENCFF959YOC/@@download/ENCFF959YOC.bigWig	M21			released	s3://encode-public/2022/02/10/edc1f2a9-ef3e-4e38-bf2d-07d1a48da5b8/ENCFF959YOC.bigWig	https://datasetencode.blob.core.windows.net/dataset/2022/02/10/edc1f2a9-ef3e-4e38-bf2d-07d1a48da5b8/ENCFF959YOC.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.2.4 mm10 M21	released			
ENCFF816OIQ	bigWig	bigWig		minus strand signal of unique reads	mm10	ENCSR129DEA	total RNA-seq	/mouse-donors/ENCDO996MUL/	UBERON:0002369	adrenal gland	tissue	Mus musculus											RNA					reverse	2022-02-23	ENCODE				1	1_1							/files/ENCFF809NMT/, /files/mm10_no_alt.chrom.sizes/	115886910	ENCODE Processing Pipeline	838f4928a3cd3d00d359c90cfba9750a		https://www.encodeproject.org/files/ENCFF816OIQ/@@download/ENCFF816OIQ.bigWig	M21			released	s3://encode-public/2022/02/10/dfc3b236-6084-4f2c-9d65-3ce91eaa426c/ENCFF816OIQ.bigWig	https://datasetencode.blob.core.windows.net/dataset/2022/02/10/dfc3b236-6084-4f2c-9d65-3ce91eaa426c/ENCFF816OIQ.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.2.4 mm10 M21	released			
ENCFF463LHQ	tsv	tsv		gene quantifications	mm10	ENCSR129DEA	total RNA-seq	/mouse-donors/ENCDO996MUL/	UBERON:0002369	adrenal gland	tissue	Mus musculus											RNA					reverse	2022-02-23	ENCODE				1	1_1							/files/ENCFF363TFV/, /files/ENCFF265TSU/	11881653	ENCODE Processing Pipeline	aae8d219d7ade4aef5cfb8f965464412		https://www.encodeproject.org/files/ENCFF463LHQ/@@download/ENCFF463LHQ.tsv	M21			released	s3://encode-public/2022/02/10/9dfa879e-1625-4dba-b077-3e3df9c56a3d/ENCFF463LHQ.tsv	https://datasetencode.blob.core.windows.net/dataset/2022/02/10/9dfa879e-1625-4dba-b077-3e3df9c56a3d/ENCFF463LHQ.tsv?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.2.4 mm10 M21	released			
ENCFF312RDW	tsv	tsv		gene quantifications	mm10	ENCSR086MHH	total RNA-seq	/mouse-donors/ENCDO996MUL/	UBERON:0001388	gastrocnemius	tissue	Mus musculus											RNA					reverse	2022-02-23	ENCODE				1	1_1							/files/ENCFF363TFV/, /files/ENCFF881DNF/	11884155	ENCODE Processing Pipeline	6eb08b4434d26cda375058ae14fc782a		https://www.encodeproject.org/files/ENCFF312RDW/@@download/ENCFF312RDW.tsv	M21			released	s3://encode-public/2022/02/10/9bae815a-7e8c-470b-aabb-278afaff3cd9/ENCFF312RDW.tsv	https://datasetencode.blob.core.windows.net/dataset/2022/02/10/9bae815a-7e8c-470b-aabb-278afaff3cd9/ENCFF312RDW.tsv?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.2.4 mm10 M21	released			
